,"nom.famille","QtG","NewsChannels","RadioTV","Specialized","Interv_Committee","Presence_Committee","Submitted_Amdts","Reports","WrittenQ","Rooms","twitt_flwrs","NationPress","LocPress","OfficialFunctions","Interv_Plenary","NbVotes","Gender","Age","PolGroup","Career","Education"
"436","Fontenel-Personne","0.769426349597021",0,0,0,"-0.751435186103895","-1.47155509577992",27,0,20,12,"2629.00",2,25,0,10,144,"F",55,"LREM","1 - Novices","NoInfo"
"437","Anato","-0.66408821840219",0,0,0,"-0.606833186405505","-0.626366095056597",3,2,19,8,"3171.99999999998",1,8,0,11,289,"M",41,"LREM","1 - Novices","Master"
"438","Perrot","-0.66408821840219",0,0,0,"-0.56257458194579","0.660124623906562",8,0,26,1,"0.00",5,2,0,3,297,"M",53,"LREM","1 - Novices","NoInfo"
"439","Verchère","0.132492628119974",0,0,1,"-0.470376109177633","-0.498921578623462",97,0,44,5,"2389.99999999999",3,91,0,79,204,"M",44,"LR","5 - Incumbent","Master"
"440","Gallerneau","-1.0925111018315",0,0,0,"-0.55970099258023","-0.988380716004349",20,0,10,0,"1702.00",2,21,0,24,192,"F",63,"MODEM","6 - PolExp","AboveMaster"
"441","Mirallès","-0.66408821840219",0,0,0,"-0.382399436152164","-0.3416145397163",21,0,15,0,"3638.00",2,14,0,19,242,"F",50,"LREM","6 - PolExp","BA_or_less"
"442","Hetzel","2.17084075304266",0,0,0,"0.28730949273615","-0.0390150282633294",464,3,46,2,"3362.00",17,1,0,399,150,"M",53,"LR","5 - Incumbent","AboveMaster"
"443","Mignola","-0.294804583033896",1,1,1,"-0.713148711265758","-1.65157756126729",10,3,23,3,"2495.00",41,20,0,121,172,"M",46,"MODEM","1 - LocalRoots","AboveMaster"
"444","Vignal","-0.66408821840219",0,0,0,"-0.638023381603979","-0.375226244610695",17,0,34,12,"6378.00000000003",15,195,0,3,50,"M",59,"LREM","5 - Incumbent","Master"
"445","Colombani","-0.3659625273557",0,0,0,"-0.0747671474101601","-1.26090397085815",281,0,19,0,"2386.00",16,3,0,58,78,"M",50,"NI","6 - PolExp","AboveMaster"
"446","Christophe","-0.666902997868626",0,0,1,"0.998249010246626","1.31756860660704",108,2,44,11,"2296.00",11,47,0,138,243,"M",46,"LC","1 - 2ndCareer","NoInfo"
"447","Molac","-0.66408821840219",0,0,1,"-0.0645285007228106","0.864082417306129",149,1,52,5,"4772.00000000002",21,191,0,68,166,"M",55,"LREM","5 - Incumbent","BA_or_less"
"448","Forteza","2.20294091759623",1,0,0,"-0.0719180548378421","-0.698715893288692",270,3,6,38,"7249.99999999998",19,6,0,152,130,"F",31,"LREM","6 - PolExp","Master"
"449","Goulet","0.769426349597021",0,0,0,"-0.179410570601447","0.157405458855502",16,2,24,47,"2864.00",2,2,0,47,255,"F",39,"LREM","1 - Novices","Master"
"450","Berta","-0.294804583033896",0,0,0,"0.356662658883835","0.510962973430364",45,2,40,12,"2674.00000000001",4,61,0,45,145,"M",57,"MODEM","6 - PolExp","AboveMaster"
"451","Bolo","-1.8902176206291",0,0,0,"-0.512841886601551","0.472379605883718",24,1,1,3,"2507.00",3,47,0,19,173,"M",50,"MODEM","1 - 2ndCareer","AboveMaster"
"452","Chalumeau","0.769426349597021",0,0,0,"-0.343298692585289","0.248286856185558",50,0,29,30,"3079.00",0,103,0,54,201,"M",54,"LREM","6 - PolExp","AboveMaster"
"453","Chassaing","-0.66408821840219",0,0,0,"-0.53665308821788","-0.595539741766686",3,2,4,7,"0.00",1,120,0,11,121,"M",45,"LREM","6 - PolExp","NoInfo"
"454","Dunoyer","-0.142907785257563",0,0,0,"-0.500512193509671","-1.58029442747039",45,0,8,1,"0.00",6,3,0,74,124,"M",49,"LC","4 - Entourage","Master"
"455","Folliot","-0.66408821840219",0,0,1,"-0.607228711661696","-1.56074409124681",7,0,38,6,"5005.00000000001",12,13,0,30,36,"M",54,"LREM","5 - Incumbent","AboveMaster"
"456","Gomès","-0.666902997868626",0,0,2,"-0.570911753684818","-1.4086075716686",20,1,15,0,"2623.99999999999",31,11,0,60,54,"M",59,"LC","5 - Incumbent","BA_or_less"
"457","Gosselin","1.15166669058132",2,4,2,"0.859165763656131","0.0626473862318619",210,1,27,6,"12500.00",65,189,0,222,159,"M",51,"LR","5 - Incumbent","AboveMaster"
"458","Huppé","-2.0976027864014",0,0,0,"-0.657443886299941","-1.34477674567142",7,0,28,3,"2358.00000000001",6,101,0,7,213,"M",49,"LREM","1 - 2ndCareer","AboveMaster"
"459","Latombe","-1.0925111018315",0,0,1,"-0.35272111120904","-0.418213632412699",40,0,21,5,"1574.99999999999",16,74,0,102,149,"M",42,"MODEM","6 - PolExp","Master"
"460","Michel-Kleisbauer","-1.8902176206291",4,0,0,"-0.16734534653435","0.36626713536593",0,1,5,11,"3298.00",2,1,0,19,229,"M",48,"MODEM","4 - Entourage","Master"
"461","Vigier","0.381087427353501",3,0,5,"2.01590231991244","1.13950789444966",188,6,17,18,"1100.00",45,35,0,355,213,"M",59,"LC","5 - Incumbent","AboveMaster"
"462","Raphan","-0.66408821840219",0,1,0,"-0.865972265882437","-0.209065766227996",5,0,2,8,"3729.00",3,7,0,16,304,"M",34,"LREM","1 - Novices","Master"
"463","Cabaré","0.769426349597021",0,0,0,"0.0978197708805763","1.31077900185601",26,1,1,9,"1852.00",3,2,0,23,302,"M",60,"LREM","6 - PolExp","BA_or_less"
"464","Cordier","0.132492628119974",0,0,0,"0.325473055839008","2.55902201921157",131,1,50,0,"2301.00",9,9,0,91,287,"M",45,"LR","1 - LocalRoots","NoInfo"
"465","Dharréville","0.729234492969466",0,0,7,"3.15263335381871","1.37977508261302",392,3,31,14,"2562.00",111,34,0,498,341,"M",42,"GDR","4 - Entourage","BA_or_less"
"466","Dumont","1.15166669058132",1,2,4,"0.240103073979596","0.508337062127438",95,1,23,2,"8293.00000000003",39,123,0,430,322,"M",30,"LR","4 - Entourage","AboveMaster"
